halo, total_mass, baryon_mass, particle_mass, star_mass 
-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-
[0, 3.47743107158e+13 Msun, 5.62530211745e+12 Msun, 2.91490085983e+13 Msun, 0]
[1, 2.96389507593e+13 Msun, 4.96005347014e+12 Msun, 2.46788972892e+13 Msun, 0]
[2, 3.26196071002e+13 Msun, 5.255751532e+12 Msun, 2.73638555682e+13 Msun, 0]
[3, 2.16861996882e+13 Msun, 3.46841353968e+12 Msun, 1.82177861485e+13 Msun, 0]
[4, 1.35985822587e+13 Msun, 2.20256945067e+12 Msun, 1.1396012808e+13 Msun, 0]
[5, 8.65813809204e+12 Msun, 1.3798358034e+12 Msun, 7.27830228865e+12 Msun, 0]
[6, 1.11577204938e+13 Msun, 1.78583919836e+12 Msun, 9.37188129544e+12 Msun, 0]
[7, 1.22248965614e+13 Msun, 1.93599874608e+12 Msun, 1.02888978153e+13 Msun, 0]
[8, 1.031761898e+13 Msun, 1.63005782033e+12 Msun, 8.68756115971e+12 Msun, 0]
[9, 9.20534427961e+12 Msun, 1.52705205247e+12 Msun, 7.67829222714e+12 Msun, 0]
[10, 5.90159841148e+12 Msun, 9.09641365043e+11 Msun, 4.99195704644e+12 Msun, 0]
[11, 1.28628273945e+13 Msun, 2.13745174608e+12 Msun, 1.07253756484e+13 Msun, 0]
[12, 7.90756084104e+12 Msun, 1.25987952254e+12 Msun, 6.6476813185e+12 Msun, 0]
[13, 7.07099100072e+12 Msun, 1.12690644149e+12 Msun, 5.94408455923e+12 Msun, 0]
[14, 5.62688604925e+12 Msun, 8.98605674827e+11 Msun, 4.72828037443e+12 Msun, 0]
[15, 8.48432922013e+12 Msun, 1.45180388164e+12 Msun, 7.03252533849e+12 Msun, 0]
[16, 5.05552474473e+12 Msun, 7.91260236981e+11 Msun, 4.26426450775e+12 Msun, 0]
[17, 5.67613105164e+12 Msun, 8.83136298185e+11 Msun, 4.79299475346e+12 Msun, 0]
[18, 4.72924194084e+12 Msun, 7.52061433698e+11 Msun, 3.97718050714e+12 Msun, 0]
[19, 3.74115918086e+12 Msun, 5.7566221499e+11 Msun, 3.16549696587e+12 Msun, 0]
[20, 5.24523546284e+12 Msun, 8.60492057959e+11 Msun, 4.38474340488e+12 Msun, 0]
[21, 4.13997240701e+12 Msun, 6.9909510483e+11 Msun, 3.44087730218e+12 Msun, 0]
[22, 3.74929870765e+12 Msun, 5.89309348502e+11 Msun, 3.15998935915e+12 Msun, 0]
[23, 4.13479155535e+12 Msun, 6.0510409471e+11 Msun, 3.52968746064e+12 Msun, 0]
[24, 3.24221413768e+12 Msun, 5.14571906541e+11 Msun, 2.72764223114e+12 Msun, 0]
[25, 3.87490801943e+12 Msun, 6.3092765771e+11 Msun, 3.24398036172e+12 Msun, 0]
[26, 3.65947773787e+12 Msun, 5.88298537188e+11 Msun, 3.07117920069e+12 Msun, 0]
[27, 3.46461379199e+12 Msun, 5.4282842375e+11 Msun, 2.92178536824e+12 Msun, 0]
[28, 2.76479769598e+12 Msun, 4.15114976421e+11 Msun, 2.34968271956e+12 Msun, 0]
[29, 3.38028129726e+12 Msun, 5.42486931597e+11 Msun, 2.83779436566e+12 Msun, 0]
[30, 2.53915082952e+12 Msun, 3.90495755467e+11 Msun, 2.14865507405e+12 Msun, 0]
[31, 3.44259351531e+12 Msun, 5.6486900088e+11 Msun, 2.87772451443e+12 Msun, 0]
[32, 3.48770543549e+12 Msun, 5.39758935302e+11 Msun, 2.94794650019e+12 Msun, 0]
[33, 2.95646024605e+12 Msun, 4.69087358338e+11 Msun, 2.48737288771e+12 Msun, 0]
[34, 2.91662092469e+12 Msun, 5.02223826096e+11 Msun, 2.41439709859e+12 Msun, 0]
[35, 2.52635641336e+12 Msun, 4.51365579269e+11 Msun, 2.07499083409e+12 Msun, 0]
[36, 2.56460052422e+12 Msun, 4.05618687557e+11 Msun, 2.15898183666e+12 Msun, 0]
[37, 2.81057281932e+12 Msun, 4.395481237e+11 Msun, 2.37102469562e+12 Msun, 0]
[38, 2.58852141906e+12 Msun, 3.8272492522e+11 Msun, 2.20579649384e+12 Msun, 0]
[39, 2.39444816156e+12 Msun, 3.68337337165e+11 Msun, 2.02611082439e+12 Msun, 0]
[40, 2.63902942279e+12 Msun, 4.19463912137e+11 Msun, 2.21956551065e+12 Msun, 0]
[41, 1.75101079793e+12 Msun, 2.44680358319e+11 Msun, 1.50633043961e+12 Msun, 0]
[42, 2.08344379372e+12 Msun, 3.32713305637e+11 Msun, 1.75073048808e+12 Msun, 0]
[43, 2.89683340835e+12 Msun, 4.65913489581e+11 Msun, 2.43091991877e+12 Msun, 0]
[44, 2.8471822713e+12 Msun, 5.3674124967e+11 Msun, 2.31044102163e+12 Msun, 0]
[45, 2.9253543737e+12 Msun, 4.63454167101e+11 Msun, 2.4619002066e+12 Msun, 0]
[46, 1.58623317065e+12 Msun, 1.99693177334e+11 Msun, 1.38653999332e+12 Msun, 0]
[47, 2.52007605037e+12 Msun, 4.29250846946e+11 Msun, 2.09082520343e+12 Msun, 0]
[48, 1.41703461408e+12 Msun, 2.33587618791e+11 Msun, 1.18344699529e+12 Msun, 0]
[49, 6.17844100052e+12 Msun, 1.0026675796e+12 Msun, 5.17577342093e+12 Msun, 0]
[50, 2.95826343213e+12 Msun, 5.01870832249e+11 Msun, 2.45639259988e+12 Msun, 0]
[51, 2.09928978029e+12 Msun, 3.34101824548e+11 Msun, 1.76518795574e+12 Msun, 0]
[52, 2.14675810636e+12 Msun, 3.41640001858e+11 Msun, 1.80511810451e+12 Msun, 0]
[53, 2.31973238591e+12 Msun, 3.59024391392e+11 Msun, 1.96070799452e+12 Msun, 0]
[54, 1.46475766354e+12 Msun, 66020091424.0 Msun, 1.39873757211e+12 Msun, 124584255229]
[55, 1.76400888094e+13 Msun, 2.87557207815e+12 Msun, 1.47645167312e+13 Msun, 0]
[56, 1.70793291513e+12 Msun, 2.65628403716e+11 Msun, 1.44230451142e+12 Msun, 0]
[57, 1.14319970867e+12 Msun, 1.47011342075e+11 Msun, 9.96188366598e+11 Msun, 0]
[58, 2.39446501598e+12 Msun, 3.87630815128e+11 Msun, 2.00683420085e+12 Msun, 0]
[59, 1.78615573934e+12 Msun, 2.69498537114e+11 Msun, 1.51665720222e+12 Msun, 0]
[60, 1.62175210452e+12 Msun, 2.77896063329e+11 Msun, 1.34385604119e+12 Msun, 0]
[61, 1.31173080267e+12 Msun, 1.60640996903e+11 Msun, 1.15108980577e+12 Msun, 0]
[62, 1.33426854851e+12 Msun, 2.02455366277e+11 Msun, 1.13181318223e+12 Msun, 0]
[63, 1.41937970292e+12 Msun, 1.94625657182e+11 Msun, 1.22475404573e+12 Msun, 0]
[64, 2.0149183939e+12 Msun, 3.08937210469e+11 Msun, 1.70598118343e+12 Msun, 0]
[65, 1.33441425007e+12 Msun, 1.867666985e+11 Msun, 1.14764755157e+12 Msun, 0]
[66, 2.9695171022e+12 Msun, 4.55294631696e+11 Msun, 2.5142224705e+12 Msun, 0]
[67, 1.11891164583e+12 Msun, 1.45442156976e+11 Msun, 9.73469488853e+11 Msun, 0]
[68, 1.75141097052e+12 Msun, 2.31827898294e+11 Msun, 1.51958307223e+12 Msun, 0]
[69, 9.65952327466e+11 Msun, 1.65283999647e+11 Msun, 8.00668327819e+11 Msun, 0]
[70, 1.35543509067e+12 Msun, 2.49783040392e+11 Msun, 1.10565205028e+12 Msun, 0]
[71, 2.2269967845e+12 Msun, 3.4477218583e+11 Msun, 1.88222459867e+12 Msun, 0]
